Paper_code,Compound_name,CAS,Quantity,Plant_parts,Techniques,Formula,Classification,Activity,Plant_type,Exp_condition,IUPAC
JELcabr2012Lea,linalool,78-70-6,0.67,Leaves,GC and GC/MS,C8H18O,monoterpene alcohol,"Acaricide, Allergenic, Anesthetic, Antiallergic, Antianaphylactic, Antibacterial, Anticariogenic, Anticonvulsant, Antiedemic Antiglutamaergic, Antihistaminic, Antiinflammatory, Antileukemic Antilymphomic, Antimange, Antiseptic, Antishock, Antispasmodic, Antiviral, Barbituate-Synergist - Bronchorelaxant, Cancer-Preventive, Candidistat, Culicide Expectorant, Fungicide, GABA-nergic, Hypnotic, Hypothermic Insecticide, Insectifuge, Irritant, Larvicide, Motor-Depressant, Nematicide, Perfumery, Pesticide, Prooxidant, Sedative, Termitifuge, Trichomonicide, Tumor-Promoter",Weed,hydro-distillation,"3,7-dimethylocta-1,6-dien-3-ol,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,linalool,78-70-6,0.67,Leaves,GC and GC/MS,C8H18O,monoterpene alcohol,"Acaricide, Allergenic, Anesthetic, Antiallergic, Antianaphylactic, Antibacterial, Anticariogenic, Anticonvulsant, Antiedemic Antiglutamaergic, Antihistaminic, Antiinflammatory, Antileukemic Antilymphomic, Antimange, Antiseptic, Antishock, Antispasmodic, Antiviral, Barbituate-Synergist - Bronchorelaxant, Cancer-Preventive, Candidistat, Culicide Expectorant, Fungicide, GABA-nergic, Hypnotic, Hypothermic Insecticide, Insectifuge, Irritant, Larvicide, Motor-Depressant, Nematicide, Perfumery, Pesticide, Prooxidant, Sedative, Termitifuge, Trichomonicide, Tumor-Promoter",Weed,hydro-distillation,"3,7-dimethylocta-1,6-dien-3-ol,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,linalool,78-70-6,0.67,Leaves,GC and GC/MS,C8H18O,monoterpene alcohol,"Acaricide, Allergenic, Anesthetic, Antiallergic, Antianaphylactic, Antibacterial, Anticariogenic, Anticonvulsant, Antiedemic Antiglutamaergic, Antihistaminic, Antiinflammatory, Antileukemic Antilymphomic, Antimange, Antiseptic, Antishock, Antispasmodic, Antiviral, Barbituate-Synergist - Bronchorelaxant, Cancer-Preventive, Candidistat, Culicide Expectorant, Fungicide, GABA-nergic, Hypnotic, Hypothermic Insecticide, Insectifuge, Irritant, Larvicide, Motor-Depressant, Nematicide, Perfumery, Pesticide, Prooxidant, Sedative, Termitifuge, Trichomonicide, Tumor-Promoter",Weed,hydro-distillation,"3,7-dimethylocta-1,6-dien-3-ol,,,,,,,,,,,,,,,,,,,,,,"
JELcani2004Lea,humulene epoxide iii*,NA,3,Leaf,GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2012Fru,gamma-terpinene,99-85-4,tr,Fruit,GC and GC/MS,C10H16,monoterpene,ACE-Inhibitor Acaricide Aldose-Reductase-Inhibitor - Antiacetylcholinesterase É?? Antifeedant Antioxidant Insectifuge Irritant Perfumery Pesticide,Weed,normal,"1-methyl-4-propan-2-ylcyclohexa-1,4-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaet2013Aer,borneol,507-70-0,0.2,Aerial parts,GC and GC/MS,C10H18O,monoterpene alcohol,chinese drug-moxa,Weed,Normal,"4,7,7-trimethylbicyclo[2.2.1]heptan-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2002Lea,sesquiphellandrene,20307-83-90,1.6,Leaves,GC and GC/MS,C15H24,"sesquiterpene, Pseudoguaianolide",pheromone,Weed,hydrodistillation (conventional),"3-(6-methylhept-5-en-2-yl)-6-methylidenecyclohexene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaca1999Flo,beta-curcumene,28976-67-2,1.42,Flower and leaves,GC/FID and GC/MS,C15H24,NA,NA,Weed,normal,"1-methyl-4-[(2R)-6-methylhept-5-en-2-yl]cyclohexa-1,4-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2012Fru,is-(1)--pinene,NA,0.1,Fruit,GC and GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,bicycloelemene,32531-56-9,0.48,Leaves,GC and GC/MS,C15H24,NA,NA,Weed,normal,"1,4a-dimethyl-7-propan-2-ylidene-1,2,3,4,5,6-hexahydronaphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,bicycloelemene,32531-56-9,0.48,Leaves,GC and GC/MS,C15H24,NA,NA,Weed,normal,"1,4a-dimethyl-7-propan-2-ylidene-1,2,3,4,5,6-hexahydronaphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,bicycloelemene,32531-56-9,0.48,Leaves,GC and GC/MS,C15H24,NA,NA,Weed,normal,"1,4a-dimethyl-7-propan-2-ylidene-1,2,3,4,5,6-hexahydronaphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,eremophilene,10219-75-7,3.27,Leaves,GC/MS,NA,NA,NA,Weed,different collect times(1:00 pm),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2002Lea,(z)-3-hexenyl acetate,3681-71-8,0.2,Leaves,GC and GC/MS,C8H14O2,NA,NA,Weed,hydrodistillation (conventional),"[(Z)-hex-3-enyl] acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcacu2004Lea,4-ketoisophorone,NA,t,Leaves,GC-FID and GC/MS,NA,NA,NA,Weed,air-dried,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,camphor,76-22-2,0.54,Flower and leaves,GC/FID and GC/MS,C10H16O,monoterpene derivative,"Allelopathic, Analgesic, Anesthetic, Antiacne, Antidiarrheic Antidysenteric, Antiemetic, Antifeedant, Antifibrositic Antineuralgic, Antipruritic, Antiseptic, Antispasmodic, CNS-Stimulant, Cancer-Preventive, Carminative, Convulsant, Cosmetic, Counterirritant, Decongestant, Deliriant, Ecbolic Emetic, Epileptigenic, Expectorant, Fungicide, Herbicide Insect-Repellent, Insectifuge, Irritant, Nematicide, Occuloirritant, P450-2B1-Inhibitor, Pesticide, Respirainhibitor, Respirastimulant Rubefacient, Stimulant, Transdermal, Verrucolytic, Vibriocide",Weed,normal,"4,7,7-trimethylbicyclo[2.2.1]heptan-3-one,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,(e)-diidro-apofarnesol,NA,1.13,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,(e)-diidro-apofarnesol,NA,1.13,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,(e)-diidro-apofarnesol,NA,1.13,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,(e)-diidro-apofarnesol,NA,1.13,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,delta-cadinene,483-76-1,0.32,Leaf,GC and GC/MS,C15H24,bicyclic sesquiterpene,NA,Weed,Normal,"(1S,8aR)-4,7-dimethyl-1-propan-2-yl-1,2,3,5,6,8a-hexahydronaphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,delta-cadinene,483-76-1,0.32,Leaf,GC and GC/MS,C15H24,bicyclic sesquiterpene,NA,Weed,Normal,"(1S,8aR)-4,7-dimethyl-1-propan-2-yl-1,2,3,5,6,8a-hexahydronaphthalene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2012Fru,borneol,507-70-0,tr,Fruit,GC and GC/MS,C10H18O,monoterpene alcohol,chinese drug-moxa,Weed,normal,"4,7,7-trimethylbicyclo[2.2.1]heptan-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcacu2004Lea,beta-bisabolene,495-61-4,0.1,Leaves,GC-FID and GC/MS,C15H24,sesquiterpene,"Abortifacient, Antirhinoviral, Antiulcer, Antiviral, Perfumery, Stomachic",Weed,air-dried,"(4S)-1-methyl-4-(6-methylhepta-1,5-dien-2-yl)cyclohexene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,gamma-elemene,30824-67-0,5.57,Leaves,GC/MS,C15H24,sesquiterpene,NA,Weed,different collect times(4:00 pm),"(1S,2S)-1-ethenyl-1-methyl-4-propan-2-ylidene-2-prop-1-en-2-ylcyclohexane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaca1999Flo,phytol,150-86-7,0.96,Flower and leaves,GC/FID and GC/MS,C20H40O,diterpene alcohol,for preparation of vitamins E and K1,Weed,normal,"(E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2004Lea,cubebol,23445-02-5,0.4,Leaf,GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,alpha-copaene,3856-25-5,0.6,Leaves,GC/MS,C15H24,sesquiterpene,NA,Weed,different collect times(1:00 pm),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,borneol,507-70-0,0.41,Flower and leaves,GC/FID and GC/MS,C10H18O,monoterpene alcohol,chinese drug-moxa,Weed,normal,"4,7,7-trimethylbicyclo[2.2.1]heptan-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2002Lea,gamma-terpinene,99-85-4,2.6,Leaves,GC and GC/MS,C10H16,monoterpene,ACE-Inhibitor Acaricide Aldose-Reductase-Inhibitor - Antiacetylcholinesterase É?? Antifeedant Antioxidant Insectifuge Irritant Perfumery Pesticide,Weed,hydrodistillation (conventional),"1-methyl-4-propan-2-ylcyclohexa-1,4-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaet2013Aer,terpinolene,586-62-9,0.5,Aerial parts,GC and GC/MS,C10H16,monocyclic monoterpene,"Pheromone, Allelochemic, Antifeedant, Antinitrosaminic Antioxidant, Deodorant, Flavor, Fungicide, Perfumery, Pesticide",Weed,Normal,"1-methyl-4-propan-2-ylidenecyclohexene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,viridiflorol,552-02-3,0.2,Leaf,GC and GC/MS,C15H26O,sesquiterpenol,pheromone,Weed,shade-dried,"(1aR,4S,4aS,7R,7aS)-1,1,4,7-tetramethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,viridiflorol,552-02-3,0.2,Leaf,GC and GC/MS,C15H26O,sesquiterpenol,pheromone,Weed,shade-dried,"(1aR,4S,4aS,7R,7aS)-1,1,4,7-tetramethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,viridiflorol,552-02-3,0.2,Leaf,GC and GC/MS,C15H26O,sesquiterpenol,pheromone,Weed,shade-dried,"(1aR,4S,4aS,7R,7aS)-1,1,4,7-tetramethyl-2,3,4a,5,6,7,7a,7b-octahydro-1aH-cyclopropa[e]azulen-4-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,"1,8-cineole",470-82-6,0.4,Leaf,GC and GC/MS,C10H18O,monoterpene derivative,NA,Weed,shade-dried,"2,2,4-trimethyl-3-oxabicyclo[2.2.2]octane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,"1,8-cineole",470-82-6,0.4,Leaf,GC and GC/MS,C10H18O,monoterpene derivative,NA,Weed,shade-dried,"2,2,4-trimethyl-3-oxabicyclo[2.2.2]octane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,"1,8-cineole",470-82-6,0.4,Leaf,GC and GC/MS,C10H18O,monoterpene derivative,NA,Weed,shade-dried,"2,2,4-trimethyl-3-oxabicyclo[2.2.2]octane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2012Fru,geranial,141-27-5,0.5,Fruit,GC and GC/MS,C10H16O,monoterpene aldehyde,NA,Weed,normal,"(2E)-3,7-dimethylocta-2,6-dienal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,alpha -terpinolene,NA,0.28,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,alpha -terpinolene,NA,0.28,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,2-octano,NA,0.06,Aerial part,GC and GC/MS,NA,NA,NA,Weed,Hydrodistillation (biological),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,2-octano,NA,0.06,Aerial part,GC and GC/MS,NA,NA,NA,Weed,Hydrodistillation (biological),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaca1999Flo,delta-elemene,20307-84-0,,Flower and leaves,GC/FID and GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2012Fru,ã?ü-thujene,NA,tr,Fruit,GC and GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Fru,3-octanol,589-98-0,0.14,Fruit,GC and GC/MS,C8H18O,alcohol,fragrance,Weed,normal,"octan-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,"1,8-cineole",470-82-6,2.83,Flower and leaves,GC/FID and GC/MS,C10H18O,monoterpene derivative,NA,Weed,normal,"2,2,4-trimethyl-3-oxabicyclo[2.2.2]octane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,beta-sesquiphelandrene,NA,3.35,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,beta-sesquiphelandrene,NA,3.35,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,beta-sesquiphelandrene,NA,3.35,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,beta-sesquiphelandrene,NA,3.35,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-terpineol,98-55-5,0.1,Leaves,GC and GC/MS,C10H18O,monoterpene alcohol,pheromone,Weed,Normal,"2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-terpineol,98-55-5,0.1,Leaves,GC and GC/MS,C10H18O,monoterpene alcohol,pheromone,Weed,Normal,"2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-terpineol,98-55-5,0.1,Leaves,GC and GC/MS,C10H18O,monoterpene alcohol,pheromone,Weed,Normal,"2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-terpineol,98-55-5,0.1,Leaves,GC and GC/MS,C10H18O,monoterpene alcohol,pheromone,Weed,Normal,"2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2004Lea,"9,10-dehydroaromadendrene",NA,0.2,Leaf,GC/MS,NA,NA,NA,Weed,normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaeg2012Lea,alpha-cubebene,17699-14-8,1.15,Leaves,GC and GC/MS,C15H24,sesquiterpene,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2010Lea,germacrene,NA,15.1,Leaves,GC/MS,C15H28,NA,NA,Weed,different collect times(4:00 pm),"(1E,3S,6S,9R)-3,9-dimethyl-6-propan-2-ylcyclodecene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,trans-nerolidol,NA,2.14,Leaves,GC and GC/MS,C15H26O,sesquiterpinol,NA,Weed,normal,"(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,trans-nerolidol,NA,2.14,Leaves,GC and GC/MS,C15H26O,sesquiterpinol,NA,Weed,normal,"(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2011Lea,trans-nerolidol,NA,2.14,Leaves,GC and GC/MS,C15H26O,sesquiterpinol,NA,Weed,normal,"(6E)-3,7,11-trimethyldodeca-1,6,10-trien-3-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,germacrene b,15423-57-1,2.73,Leaves,GC-FID and GC-MS,C15H24,sesquiterpene,"pheromone, antimicrobial, insecticide",Weed,seosnal variability (June/2009),"(1E,5E)-1,5-dimethyl-8-propan-2-ylidenecyclodeca-1,5-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,germacrene b,15423-57-1,2.73,Leaves,GC-FID and GC-MS,C15H24,sesquiterpene,"pheromone, antimicrobial, insecticide",Weed,seosnal variability (June/2009),"(1E,5E)-1,5-dimethyl-8-propan-2-ylidenecyclodeca-1,5-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,germacrene b,15423-57-1,2.73,Leaves,GC-FID and GC-MS,C15H24,sesquiterpene,"pheromone, antimicrobial, insecticide",Weed,seosnal variability (June/2009),"(1E,5E)-1,5-dimethyl-8-propan-2-ylidenecyclodeca-1,5-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,germacrene b,15423-57-1,2.73,Leaves,GC-FID and GC-MS,C15H24,sesquiterpene,"pheromone, antimicrobial, insecticide",Weed,seosnal variability (June/2009),"(1E,5E)-1,5-dimethyl-8-propan-2-ylidenecyclodeca-1,5-diene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-humulene,6753-98-6,1.45,Leaves,GC-FID and GC-MS,C15H24,sesquiterpene,NA,Weed,seosnal variability (September/2008),"(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-humulene,6753-98-6,1.45,Leaves,GC-FID and GC-MS,C15H24,sesquiterpene,NA,Weed,seosnal variability (September/2008),"(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-humulene,6753-98-6,1.45,Leaves,GC-FID and GC-MS,C15H24,sesquiterpene,NA,Weed,seosnal variability (September/2008),"(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,alpha-humulene,6753-98-6,1.45,Leaves,GC-FID and GC-MS,C15H24,sesquiterpene,NA,Weed,seosnal variability (September/2008),"(1E,4E,8E)-2,6,6,9-tetramethylcycloundeca-1,4,8-triene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcani2004Lea,linalool,78-70-6,0.7,Leaf,GC/MS,C8H18O,monoterpene alcohol,"Acaricide, Allergenic, Anesthetic, Antiallergic, Antianaphylactic, Antibacterial, Anticariogenic, Anticonvulsant, Antiedemic Antiglutamaergic, Antihistaminic, Antiinflammatory, Antileukemic Antilymphomic, Antimange, Antiseptic, Antishock, Antispasmodic, Antiviral, Barbituate-Synergist - Bronchorelaxant, Cancer-Preventive, Candidistat, Culicide Expectorant, Fungicide, GABA-nergic, Hypnotic, Hypothermic Insecticide, Insectifuge, Irritant, Larvicide, Motor-Depressant, Nematicide, Perfumery, Pesticide, Prooxidant, Sedative, Termitifuge, Trichomonicide, Tumor-Promoter",Weed,normal,"3,7-dimethylocta-1,6-dien-3-ol,,,,,,,,,,,,,,,,,,,,,,"
JELcama1999Flo,terpinolene,586-62-9,0.29,Flower and leaves,GC/FID and GC/MS,C10H16,monocyclic monoterpene,"Pheromone, Allelochemic, Antifeedant, Antinitrosaminic Antioxidant, Deodorant, Flavor, Fungicide, Perfumery, Pesticide",Weed,normal,"1-methyl-4-propan-2-ylidenecyclohexene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,alpha -thujene,NA,0.15,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcain2012Lea,alpha -thujene,NA,0.15,Leaf,GC and GC/MS,NA,NA,NA,Weed,Normal,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,cis-dihydro-mayuronea,NA,0.5,Aerial part,GC and GC/MS,NA,NA,NA,Weed,Hydrodistillation (biological),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,cis-dihydro-mayuronea,NA,0.5,Aerial part,GC and GC/MS,NA,NA,NA,Weed,Hydrodistillation (biological),"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,not identified,NA,5.78,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,not identified,NA,5.78,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,not identified,NA,5.78,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcabr2012Lea,not identified,NA,5.78,Leaves,GC and GC/MS,NA,NA,NA,Weed,hydro-distillation,"NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
JELcaal2012Aer,terpinen-4-ol,562-74-3,0.29,Aerial part,GC and GC/MS,C10H18O,monoterpene alcohol,"Allelopathic, Antiacetylcholinesterase, Antiacne Antiallergic, Antiasthmatic, Antibacterial, Antioxidant Antiseptic, Antispasmodic, Antitussive, Antiulce Bacteriostatic, Diuretic, Fungicide, Herbicide, Insectifuge Irritant, Nematicide, Pesticide, Renoirritant, Spermicide, Vulnerary",Weed,Hydrodistillation (biological),"4-methyl-1-propan-2-ylcyclohex-3-en-1-ol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
